Code du département;Libellé du département;Code INSEE;Nom de la commune;Numéro de la fiche équipement;Nombre d'équipements identiques;Activité code;Activité libellé;Activité praticable;Activité pratiquée;Dans salle spécialisable;Niveau de l'activité - Classif.;localisation
44;Loire-Atlantique;44026;Carquefou;289059;1;8201;Tir à l'arc;Oui;Oui;Non;Compétition départementale;47.3017191833, -1.47277200095
44;Loire-Atlantique;44068;Guenrouet;289146;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5034137503, -1.95561601434
44;Loire-Atlantique;44068;Guenrouet;289147;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5034137503, -1.95561601434
44;Loire-Atlantique;44068;Guenrouet;289176;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5034137503, -1.95561601434
44;Loire-Atlantique;44068;Guenrouet;289176;1;5501;Pêche au coup en eau douce;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5034137503, -1.95561601434
44;Loire-Atlantique;44068;Guenrouet;289185;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5034137503, -1.95561601434
44;Loire-Atlantique;44068;Guenrouet;289185;1;5501;Pêche au coup en eau douce;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5034137503, -1.95561601434
44;Loire-Atlantique;44068;Guenrouet;289189;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5034137503, -1.95561601434
44;Loire-Atlantique;44068;Guenrouet;289189;1;5501;Pêche au coup en eau douce;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.5034137503, -1.95561601434
44;Loire-Atlantique;44015;Blain;289190;1;1701;Canoë de randonnée;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.4628210409, -1.76789479614
44;Loire-Atlantique;44015;Blain;289190;1;5501;Pêche au coup en eau douce;Oui;Oui;Non;Loisir - Entretien - Remise en forme;47.4628210409, -1.76789479614
